from	statement	to	subkey
4	Herb or weak-stemmed subshrub; leaves opposite; anthers dehiscing by lateral slits; ovule 1; fruit an achene tightly enwrapped by hardened base of corolla-like calyx --- petals actually 0 but sepals petal-like and involucre bracts sepal-like	Nyctaginaceae	Family Group 18
5	Corolla scarious, persistent in fruit	Plantaginaceae	Family Group 18
5	Corolla not scarious, generally deciduous after flower	6	Family Group 18
6	Fertile stamens = in number to corolla lobes	7	Family Group 18
6	Fertile stamens fewer than corolla lobes --- 1 or more sterile stamens sometimes present	12	Family Group 18
7	Ovary deeply 4-lobed, especially in fruit; style attachment surrounded by lobes of ovary (style readily detaches in Lamiaceae as corolla falls); fruit breaking apart into 1-seeded nutlets (sometimes only 1--3 nutlets maturing)	8	Family Group 18
7	Ovary entire or shallowly lobed; style clearly attached to tip of ovary; fruit a capsule or splitting into nutlets	9	Family Group 18
8	Stem round in &times;-section; leaves alternate (proximal opposite in some _Plagiobothrys_); herbage not aromatic; inflorescence or inflorescence branches coiled when young, unrolling in flower or fruit	Boraginaceae	Family Group 18
8	Stem 4-angled, at least when young; leaves opposite throughout; herbage generally strongly aromatic, especially if crushed; inflorescence or inflorescence branches not coiled	Lamiaceae	Family Group 18
9	Shrub; filaments attached directly to receptacle, falling free from corolla or only weakly adhering; anthers dehiscent by pores	Ericaceae	Family Group 18
9	Herb; filaments fused to and falling with corolla; anthers dehiscent by slits	10	Family Group 18
10	Calyx lobes bordered by or +- fused by a much thinner, transparent or translucent membrane; corolla generally funnel-shaped to salverform; stigmas 3; ovary chambers 3	Polemoniaceae	Family Group 18
10	Calyx lobes not bordered by or fused by transparent or translucent membrane; corolla +- rotate; stigmas 1--2; ovary chambers 1--4	11	Family Group 18
11	Corolla white to blue or purple, 2--8 mm diam; inflorescence cyme-like, or flowers solitary; fruit splitting into generally 4 one-seeded nutlets	Boraginaceae	Family Group 18
11	Corolla yellow (white to +- purple), 15--40 mm diam; inflorescence a narrow raceme or panicle; fruit a many-seeded capsule	Scrophulariaceae	Family Group 18
12	Plant entirely non-green, +- fleshy	Orobanchaceae	Family Group 18
12	Plant green and photosynthetic	13	Family Group 18
13	Proximal portion of lower corolla lip with backward-projecting, conic or tubular spur	14	Family Group 18
13	Proximal portion of lower corolla lip without backward-projecting, conic or tubular spur, occasionally with expanded pouch	16	Family Group 18
14	Plant aquatic; leaf-like underwater stems generally dissected, generally submersed, generally bearing small, hollow bladders that suck in and trap small organisms when hairs at opening are triggered	Lentibulariaceae	Family Group 18
14	Plant terrestrial; leaves entire to shallowly lobed, without hollow bladders	15	Family Group 18
15	Leaves all basal; adaxial leaf face sticky or slimy with insect-capturing glands	Lentibulariaceae	Family Group 18
15	Leaves basal and cauline or all cauline; adaxial leaf surface not sticky or slimy with insect-capturing glands	Plantaginaceae	Family Group 18
16	Ovary generally deeply 4-lobed; style attachment surrounded by lobes of ovary [style readily detaches as corolla falls] --- fruit breaking into 4 one-seeded nutlets	Lamiaceae	Family Group 18
16	Ovary entire or +- shallowly lobed; style arising from tip of ovary	17	Family Group 18
17	Ovules 1--4 per ovary chamber	18	Family Group 18
17	Ovules several to many per ovary chamber	21	Family Group 18
18	Fruit a capsule	19	Family Group 18
18	Fruit 2--4 nutlets	20	Family Group 18
19	Shrub	Acanthaceae	Family Group 18
19	Annual	Plantaginaceae	Family Group 18
20	Stamens exserted	Lamiaceae	Family Group 18
20	Stamens included	Verbenaceae	Family Group 18
21	Leaves compound	Bignoniaceae	Family Group 18
21	Leaves simple	22	Family Group 18
22	Capsule 5--35 cm	23	Family Group 18
22	Capsule < 2 cm	24	Family Group 18
23	Shrub or tree; capsule body 15--35 cm, straight, linear	Bignoniaceae	Family Group 18
23	Annual; capsule body 5--10 cm, curved, tipped with a hooked beak several cm long	Martyniaceae	Family Group 18
24	Corolla upper lip forming a concave beak or hood, +- enclosing or covering stamens and style	25	Family Group 18
24	Corolla upper lip not forming a beak or hood, not enclosing or covering stamens and style [though these may be included within corolla tube or throat]	26	Family Group 18
25	Sterile stamen 0; lobes of upper corolla lip obscure or 0	Orobanchaceae	Family Group 18
25	Sterile stamen present, inserted on corolla tube between lobes of upper corolla lip; lobes of upper lip evident	Plantaginaceae	Family Group 18
26	Stigma lobes flat, disk-like, moving together when touched; cauline leaves opposite	Phrymaceae	Family Group 18
26	Stigma dot-like or head-like, unlobed, or lobes not moving together when touched; cauline leaves opposite or alternate (whorled) or leaves all basal	27	Family Group 18
27	Leaves all basal	28	Family Group 18
27	Leaves basal and cauline or all cauline	29	Family Group 18
28	Flowers solitary; stamens 4; leaves linear or awl-like to spoon-shaped or ovate, entire	Scrophulariaceae	Family Group 18
28	Flowers in raceme; stamens 2; leaves ovate to round, toothed or shallowly lobed	Plantaginaceae	Family Group 18
29	Stem 4-angled; corolla tube urn-shaped to spheric	Scrophulariaceae	Family Group 18
29	Stem generally round in &times;-section; corolla tube cylindric to bell-shaped, sometimes very short	Plantaginaceae	Family Group 18
1	Stamens > in number than corolla lobes	2	Family Group 19
1	Stamens = in number to corolla lobes or fewer	10	Family Group 19
2	Filaments fused proximally, forming a cup or tube	3	Family Group 19
2	Filaments free	6	Family Group 19
3	Leaves compound	4	Family Group 19
3	Leaves simple	5	Family Group 19
4	Shrub or tree; leaves 2-pinnate; fruit a legume; stamens many, much more conspicuous than corolla	Fabaceae Group 1	Family Group 19
4	Herb; leaves palmate with 3 leaflets; fruit a capsule; stamens 10, less conspicuous than corolla	Oxalidaceae	Family Group 19
5	Stamens many; filaments strongly fused, forming tube around pistil; anthers crescent-shaped, chamber 1; style 1, distally branched or styles 5--many, stigmas linear to head-like --- petals generally free from each other but fused to and falling with filament tube	Malvaceae	Family Group 19
5	Stamens 10(16); filaments fused at base; anthers oblong, 2-chambered; style 1, stigma dot-like or minutely lobed	Styracaceae	Family Group 19
6	Flower parts in 6s; fruit a triangular achene --- 6-parted perianth easily mistaken for corolla, especially in plants with 1--few-flowered, calyx-like involucre	Polygonaceae	Family Group 19
6	Flower parts in 4s or 5s; fruit a capsule, berry, drupe, or cluster of follicles	7	Family Group 19
7	Plant fleshy	8	Family Group 19
7	Plant not fleshy	9	Family Group 19
8	Plant photosynthetic; leaves well developed, green; carpels fused only at base, styles 5	Crassulaceae	Family Group 19
8	Plant non-photosynthetic; leaves scale-like, white to cream or red; carpels wholly fused, style 1	Ericaceae	Family Group 19
9	Stem spineless; corolla urn-shaped to rotate or widely funnel-shaped, variously colored	Ericaceae	Family Group 19
9	Stem bearing a stout, petiolar spine at each node; corolla tubular, bright red	Fouquieriaceae {Fouquieria splendens subsp. splendens}	Family Group 19
10	Fertile stamens fewer than corolla lobes --- 1 or more sterile stamens sometimes present	11	Family Group 19
10	Fertile stamens = in number to corolla lobes	19	Family Group 19
11	Perianth parts in 6s; stigmas and style branches 3 --- 6-parted perianth easily mistaken for corolla in plant with 1-flowered, calyx-like involucre	Polygonaceae	Family Group 19
11	Perianth parts in 4s or 5s; stigmas 1 or 2, style unbranched or branches 2	12	Family Group 19
12	Ovary deeply 4-lobed; style attachment surrounded by lobes of ovary [style readily detaches as corolla falls] --- fruit 4 nutlets	Lamiaceae	Family Group 19
12	Ovary entire or +- shallowly lobed; style arising from tip of ovary	13	Family Group 19
13	Ovules several to many per ovary chamber	14	Family Group 19
13	Ovules 1--4 per ovary chamber	16	Family Group 19
14	Leaves all basal; inflorescence scapose, flowers solitary --- leaves linear or awl-shaped to spoon-shaped or ovate, entire	Scrophulariaceae	Family Group 19
14	Leaves basal and cauline or all cauline; inflorescence not scapose, flowers 1--many	15	Family Group 19
15	Stigma lobes flat, disk-like, moving together when touched	Phrymaceae	Family Group 19
15	Stigma dot-like or head-like, unlobed, or lobes not moving together when touched	Plantaginaceae	Family Group 19
16	Corolla-like calyx constricted above ovary, base persistent around ovary, becoming hardened or winged at maturity; stigma, ovary chamber, and ovule 1; fruit an achene --- corolla-like calyx easily mistaken for corolla, especially in plant with 1-flowered, calyx-like involucre	Nyctaginaceae	Family Group 19
16	True corolla present, not constricted above ovary, base not persistent as hardened or winged structure around ovary; stigmas, ovary chambers, and ovules > 1; fruit various	17	Family Group 19
17	Stamens 2	Oleaceae	Family Group 19
17	Stamens 4	18	Family Group 19
18	Leaves gland-dotted; shrub or small tree	Scrophulariaceae	Family Group 19
18	Leaves not gland-dotted though sometimes glandular-hairy	Verbenaceae	Family Group 19
19	Plants entirely non-green, parasitic	20	Family Group 19
19	Plants green and photosynthetic	21	Family Group 19
20	Plant an erect or mound-shaped, fleshy root-parasite with many crowded, scale-like leaves	Boraginaceae	Family Group 19
20	Plant a thread-like, leafless, yellow to orange, twining vine that wraps around stems and leaves of host plant	Convolvulaceae	Family Group 19
21	Ovaries 2, +- pressed together in flower but not fused, carpels distally united by a shared style or by a complex stigmatic structure; fruit of 1--2 follicles; milky latex generally present	Apocynaceae	Family Group 19
21	Ovary 1, sometimes deeply lobed; fruits various; milky latex 0	22	Family Group 19
22	Leaves whorled	23	Family Group 19
22	Leaves alternate, opposite, or all basal	25	Family Group 19
23	Shrub --- leaves evergreen, leathery; corolla throat with fringed appendages	Apocynaceae	Family Group 19
23	Herb	24	Family Group 19
24	Perennial herb, sometimes dying after flower; perianth parts in 4s; fruit a capsule	Gentianaceae	Family Group 19
24	Annual; perianth parts in 6s; fruit an achene --- 6-parted perianth easily mistaken for corolla, involucre 1-flowered, calyx-like	Polygonaceae	Family Group 19
25	Corolla dry, scarious, 4-lobed; inflorescence a dense spike (rarely flower only 1); leaves generally all basal (opposite, appearing clustered at nodes in <i>Plantago arenaria</i>)	Plantaginaceae	Family Group 19
25	Corolla with normal, petal-like texture, 4--7-lobed; inflorescence various or flowers solitary; leaves basal and/or cauline	26	Family Group 19
26	Ovary deeply 2--4-lobed, especially in fruit; style attachment surrounded by lobes of ovary (style readily detaches in Lamiaceae as corolla falls); fruit breaking apart into 1-seeded nutlets or segments (sometimes only 1--3 nutlets maturing)	27	Family Group 19
26	Ovary entire or shallowly lobed; style clearly attached to tip of ovary; fruit generally a capsule, berry, drupe, or achene	30	Family Group 19
27	Leaves opposite, at least proximally; stem 4-angled or round &times;-section; stem and leaves sometimes aromatic	28	Family Group 19
27	Leaves alternate; stem +- round; stem and leaves generally not aromatic	29	Family Group 19
28	Stem round; leaves generally alternate distally or leaves of a pair unequal; herbage not aromatic; inflorescence or branches of inflorescence generally +- coiled or 1-sided when young, unrolling during development, at maturity +- open, generally resembling a 1-sided spike or raceme or flowers sometimes solitary	Boraginaceae	Family Group 19
28	Stem 4-angled; leaves opposite throughout; herbage generally strongly aromatic; inflorescence not coiled	Lamiaceae	Family Group 19
29	Leaves linear to ovate; stems mostly not rooting; inflorescence or branches of inflorescence generally +- coiled or 1-sided when young, unrolling during development, at maturity +- open, generally resembling a 1-sided spike or raceme, flowers seldom concealed by leaves; ovary 2--4-lobed	Boraginaceae	Family Group 19
29	Leaves reniform; stems matted, rooting at nodes; flowers solitary, +- concealed by leaves; ovary 2-lobed	Convolvulaceae	Family Group 19
30	Filaments fused, forming a tube around style	31	Family Group 19
30	Filaments generally free	32	Family Group 19
31	Shrub; flowers solitary, yellow or orange to +- red; stems and leaves densely stellate --- corolla-like whorl actually a calyx, subtended by sepal-like bracts	Malvaceae	Family Group 19
31	Herb; flowers in scapose umbels, white to pink or purple; stems and leaves glabrous or glandular-hairy	Primulaceae	Family Group 19
32	Sepals 2; stems and leaves +- fleshy	33	Family Group 19
32	Sepals 4 or more; stems and leaves generally not fleshy	34	Family Group 19
33	Vine with twining stems; flowers in many-flowered raceme or panicle; fruit fleshy, indehiscent, 1-seeded	Basellaceae	Family Group 19
33	Herb, stems prostrate to erect, not twining; flowers solitary or in few-flowered clusters; fruit dry, dehiscent, 2--many-seeded	Montiaceae	Family Group 19
34	Perianth parts in 6s or 7s	35	Family Group 19
34	Perianth parts in 4s or 5s	36	Family Group 19
35	Style and stigma 1; placentas free-central; ovules several--many; fruit a capsule	Myrsinaceae	Family Group 19
35	Styles and stigmas 3; placentas basal; ovule 1; fruit a 3-angled achene --- 6-parted perianth easily mistaken for corolla, especially in plant with 1-flowered, calyx-like involucre	Polygonaceae	Family Group 19
36	Styles or style-branches 5; sepal tips and subtending bracts widely obtuse, scarious (sometimes brightly pigmented) Or calyx stalked-glandular	Plumbaginaceae	Family Group 19
36	Styles, style-branches, or stigmas generally 1--3; sepal tips and bracts generally not widely obtuse and scarious, calyx glandular or not	37	Family Group 19
37	Corolla-like calyx constricted above the ovary, persistent base becoming hardened or winged at maturity, enclosing fruit; ovary chamber 1, ovule 1; fruit an achene --- corolla-like calyx easily mistaken for corolla, especially in plants with 1-flowered, calyx-like involucre	Nyctaginaceae	Family Group 19
37	True corolla present, generally not constricted above ovary, base not persistent as hardened or winged structure enclosing fruit; ovary chambers generally 1--4, ovules generally > 1; fruit various	38	Family Group 19
38	Stamens opposite corolla lobes; placentas free-central	39	Family Group 19
38	Stamens alternate corolla lobes; placentas parietal or axile (rarely basal)	40	Family Group 19
39	Flowers axillary or in racemes	Myrsinaceae	Family Group 19
39	Flowers in scapose umbels	Primulaceae	Family Group 19
40	Filaments of stamens not fused to corolla, sometimes adhering weakly to base of corolla but readily separable	41	Family Group 19
40	Filaments of stamens definitely fused to corolla tube or throat, not separable without tearing stamen or corolla tissue	42	Family Group 19
41	Annual; corolla 5-lobed; leaves pinnately lobed	Boraginaceae	Family Group 19
41	Shrub; corolla 4-lobed; leaves entire	Ericaceae	Family Group 19
42	Inflorescence or branches of inflorescence generally +- coiled or 1-sided when young, unrolling during development, at maturity +- open, generally resembling a 1-sided spike or raceme	Boraginaceae	Family Group 19
42	Inflorescence not coiled and unrolling, generally not 1-sided	43	Family Group 19
43	Calyx lobes generally bordered by or +- fused by a much thinner, transparent or translucent membrane; stigmas and ovary chambers generally 3 (1 or 2)	Polemoniaceae	Family Group 19
43	Calyx lobes generally without a transparent or translucent marginal membrane; stigmas generally 2 (1 or 3), ovary chambers generally 1 or 2	44	Family Group 19
44	Stem twining	Convolvulaceae	Family Group 19
44	Stem not twining	45	Family Group 19
45	Leaves palmately compound --- rhizomed per of bogs, marshes, lake margins	Menyanthaceae	Family Group 19
45	Leaves simple to pinnately compound	46	Family Group 19
46	Plant aquatic; leaves floating on water surface, deeply cordate; inflorescence an umbel or flower 1	Menyanthaceae	Family Group 19
46	Plant generally terrestrial, sometimes in damp soil; leaves not floating on water surface, shapes various; inflorescence not an umbel	47	Family Group 19
47	Stigmas 3	Polemoniaceae	Family Group 19
47	Stigmas 1--2	48	Family Group 19
48	Leaves alternate or of unusual arrangement [in some _Solanum_ species 2 leaves that are not opposite may be attached at the same node, and inflorescences may arise from internodes], not opposite or all basal	49	Family Group 19
48	Leaves opposite or all basal	54	Family Group 19
49	Stigma 1, generally undivided	50	Family Group 19
49	Stigmas or stigma lobes 2	51	Family Group 19
50	Some or all stamens densely hairy; inflorescence a narrow raceme or panicle	Scrophulariaceae	Family Group 19
50	Stamens glabrous or nearly so; inflorescence variously cyme-like, or flowers solitary	Solanaceae	Family Group 19
51	Style undivided	52	Family Group 19
51	Styles or style branches 2	53	Family Group 19
52	Corolla < 15 mm; flowers in axillary or terminal clusters, several to many per peduncle, not subtended by paired bracts; leaves lobed or compound, not cordate, sagittate, or hastate	Boraginaceae	Family Group 19
52	Corolla 20--70 mm; flowers generally 1(5) in leaf axils, often subtended by a pair of opposite or subopposite bracts appressed against the calyx or borne below the flower(s) on the peduncle; leaves often cordate, sagittate, or hastate	Convolvulaceae	Family Group 19
53	Herbage glabrous or variously hairy and/or glandular; flowers solitary or clustered; leaves entire to lobed or compound	Boraginaceae	Family Group 19
53	Herbage densely silky-canescent; flowers solitary in distal leaf axils, +- on 1 side of stem; leaves entire	Convolvulaceae	Family Group 19
54	Corolla lobes 4	55	Family Group 19
54	Corolla lobes 5	57	Family Group 19
55	Herb	Gentianaceae	Family Group 19
55	Shrub	56	Family Group 19
56	Corolla +- rotate, lobes +- leathery, +- green-white; coastal lagoons or salt marshes	Acanthaceae	Family Group 19
56	Corolla +- salverform, lobes thin, +- yellow or white to purple; generally dry places	Scrophulariaceae	Family Group 19
57	Flowers solitary, inflorescence scapose	Boraginaceae	Family Group 19
57	Flowers 1--many, borne on a +- leafy stem	58	Family Group 19
58	Leaves toothed, lobed, or compound	Boraginaceae	Family Group 19
58	Leaves entire	59	Family Group 19
59	Plants glandular-hairy	Solanaceae	Family Group 19
59	Plants glabrous or hairy, but not glandular	60	Family Group 19
60	Stems spreading or mat-forming; stems and leaves densely strigose; flowers sessile or subsessile in forks of stem; leaves of a pair often unequal	Boraginaceae	Family Group 19
60	Stems mostly erect or ascending; stems and leaves glabrous or short-hairy; flowers axillary or in terminal inflorescences; leaves of a pair equal	Gentianaceae	Family Group 19
1	Leaves 2 or more &times; compound or divided	2	Family Group 20
1	Leaves once compound or divided	17	Family Group 20
2	Ovary inferior	3	Family Group 20
2	Ovary superior	4	Family Group 20
3	Fruit dry, splitting into 2 mericarps; inflorescence generally a compound umbel (occasionally simple umbel, head)	Apiaceae	Family Group 20
3	Fruit a berry; inflorescence a simple or branched cluster of umbels	Araliaceae	Family Group 20
4	Shrub or tree	5	Family Group 20
4	Herb or subshrub	7	Family Group 20
5	Main axis of leaf bearing many small leaflets or lobes in addition to main leaflets	Rosaceae	Family Group 20
5	Main axis of leaf without small leaflets or lobes in addition to main leaflets	6	Family Group 20
6	Leaflets entire; flowers cream to yellow, orange, red, or pink	Fabaceae	Family Group 20
6	Leaflets serrate; flowers white to dark purple	Meliaceae	Family Group 20
7	Ovary very deeply 4--6-lobed; style arising from a deep indentation in middle of ovary	8	Family Group 20
7	Ovary unlobed or only shallowly lobed; style or sessile stigma(s) terminal or from shallow depression at tip of ovary	9	Family Group 20
8	Flowers white or pink; herbage not scented	Limnanthaceae	Family Group 20
8	Flowers yellow; herbage strongly scented	Rutaceae	Family Group 20
9	Stamens 12--50	10	Family Group 20
9	Stamens 2--10	12	Family Group 20
10	Leaves, at least proximal, 2--3-ternately compound, leaflets flat, toothed to irregularly cut	Ranunculaceae	Family Group 20
10	Leaves divided into linear, +- fleshy or flat lobes	11	Family Group 20
11	Flowers radial; leaves deeply, irregularly 2-ternately or ternately-pinnately lobed, +- fleshy; ovary (2)3(4)-chambered; fruit a capsule	Nitrariaceae	Family Group 20
11	Flowers bilateral; leaves deeply palmately or palmate-pinnately lobed or dissected, not fleshy; ovary 1-chambered; fruit a follicle	Ranunculaceae	Family Group 20
12	Petals 5	13	Family Group 20
12	Petals 4 or 6	15	Family Group 20
13	Flowers solitary on peduncles >= 2 cm	Violaceae	Family Group 20
13	Flowers several to many in umbels or racemes	14	Family Group 20
14	Petals yellow to orange or +- red; leaflets entire; inflorescence a raceme	Fabaceae	Family Group 20
14	Petals pink to purple; leaflets toothed; inflorescence an umbel	Geraniaceae	Family Group 20
15	Petals 6; leaves all basal	Berberidaceae	Family Group 20
15	Petals 4; leaves basal and cauline	16	Family Group 20
16	Petals all equal; flowers radial; inflorescence a bractless raceme	Brassicaceae	Family Group 20
16	Petals unequal; flowers bilateral or biradial; inflorescence a bracted raceme or panicle-like cluster	Papaveraceae	Family Group 20
17	Petal 1	Fabaceae	Family Group 20
17	Petals 4--6	18	Family Group 20
18	Ovary > 1/2 inferior	19	Family Group 20
18	Ovary superior	23	Family Group 20
19	Shrub or tree; stamens generally 20; fruit a pome	Rosaceae	Family Group 20
19	Herb; stamens 5--10; fruit a capsule, splitting into mericarps, or a berry	20	Family Group 20
20	Inflorescence a raceme or spike (sometimes branched)	21	Family Group 20
20	Inflorescence a simple or compound umbel, a cluster of simple umbels, or 1--several heads	22	Family Group 20
21	Plant a freshwater aquatic; leaves all cauline, submersed leaves whorled, pinnately dissected into thread-like segments	Haloragaceae	Family Group 20
21	Plant terrestrial; leaves basal and cauline, alternate, +- palmately compound	Saxifragaceae	Family Group 20
22	Styles 2; fruit splitting into 2 mericarps; inflorescence generally a compound umbel (simple umbel, 1 or more heads)	Apiaceae	Family Group 20
22	Styles 5; fruit a berry; inflorescence of 2--many umbels in simple or branched cluster	Araliaceae	Family Group 20
23	Stamens many, filaments fused in tube around style; styles 5+	Malvaceae	Family Group 20
23	Stamens generally 4--10, or if many, free; styles generally 1--3	24	Family Group 20
24	Flowers strongly bilateral, 1 petal markedly different from others	25	Family Group 20
24	Flowers +- radial or if bilateral, petals 4 in dissimilar pairs	27	Family Group 20
25	Petals 4; sepals 2	Papaveraceae	Family Group 20
25	Petals 5; sepals or calyx lobes 5 (occasionally appearing to be 3 or fewer)	26	Family Group 20
26	Odd petal uppermost in flower; stamens 10(5), generally all filaments or 9 of them fused, forming a tube around ovary (filaments free); carpel 1; fruit a legume or indehiscent pod	Fabaceae	Family Group 20
26	Odd petal lowermost in flower; stamens 5, free but tightly appressed against ovary; carpels 3; fruit a capsule	Violaceae	Family Group 20
27	Leaflets or leaf segments 2 or 3	28	Family Group 20
27	Leaflets or leaf segments 4 or more	39	Family Group 20
28	Herb or subshrub	29	Family Group 20
28	Tree or well-developed shrub	33	Family Group 20
29	Petals 4; stamens 6	30	Family Group 20
29	Petals 5; stamens 5 or 10	31	Family Group 20
30	Ovary sessile on receptacle; flowers of raceme not subtended by bracts	Brassicaceae	Family Group 20
30	Ovary separated from receptacle by a stalk; flowers of raceme generally subtended by bracts or flowers solitary, axillary	Cleomaceae	Family Group 20
31	Leaflet margins toothed or lobed	Saxifragaceae	Family Group 20
31	Leaflet margins entire (sometimes apically notched)	32	Family Group 20
32	Leaves alternate or all basal; stamens +- fused, at least at base; ovules or seeds many	Oxalidaceae	Family Group 20
32	Leaves opposite; stamens free; ovules or seeds 1 per chamber	Zygophyllaceae	Family Group 20
33	Leaves opposite	34	Family Group 20
33	Leaves alternate	36	Family Group 20
34	Leaflets 2, fused at base [leaves deeply 2-lobed], entire, resinous	Zygophyllaceae	Family Group 20
34	Leaflets 3, occasionally +- fused, toothed, not resinous	35	Family Group 20
35	Leaflets coarsely serrate or crenate; stigmas 2, +- sessile; ovary 2-winged; fruit generally splitting at maturity into winged mericarps	Sapindaceae	Family Group 20
35	Leaflets finely serrate; stigmas and styles 3; ovary wingless; fruit a bladdery, 3-chambered capsule	Staphyleaceae	Family Group 20
36	Leaflets gland-dotted; fruit a round, winged achene	Rutaceae	Family Group 20
36	Leaflets not gland-dotted; fruit a capsule or berry	37	Family Group 20
37	Petals 4; ovary separated from receptacle by a stalk	Cleomaceae	Family Group 20
37	Petals 5--6; ovary sessile on receptacle	38	Family Group 20
38	Petals 5; leaflets entire to lobed, but not spiny-toothed	Anacardiaceae	Family Group 20
38	Petals 6; leaflets spiny-toothed	Berberidaceae	Family Group 20
39	Leaves palmately compound or divided	40	Family Group 20
39	Leaves pinnately compound or divided	43	Family Group 20
40	Plant woody	41	Family Group 20
40	Plant herbaceous	42	Family Group 20
41	Leaves opposite; erect shrub or tree	Sapindaceae	Family Group 20
41	Leaves alternate; woody vine with tendrils	Vitaceae	Family Group 20
42	Leaflets entire; inflorescence a raceme; ovary separated from receptacle by a stalk	Cleomaceae	Family Group 20
42	Leaflets or leaf segments toothed; inflorescence (1)2-flowered; ovary sessile on receptacle	Geraniaceae	Family Group 20
43	Petals 4	44	Family Group 20
43	Petals 5 or more	45	Family Group 20
44	Ovary entire or +- 2-lobed; inflorescence a generally bractless raceme	Brassicaceae	Family Group 20
44	Ovary very deeply 4-lobed; flowers solitary and axillary or inflorescence a leafy-bracted raceme	Limnanthaceae	Family Group 20
45	Shrub or tree (occasionally low-creeping)	46	Family Group 20
45	Herb or subshrub	50	Family Group 20
46	Petals 6; leaflets spiny-toothed; stems and leaves non-scented	Berberidaceae	Family Group 20
46	Petals 5(6); leaflets entire or toothed but not spiny; stems and leaves often strongly scented	47	Family Group 20
47	Ovary divided into 2--5 flattened lobes; fruit a cluster of elongated, winged achenes; leaflets with gland-tipped teeth near base	Simaroubaceae	Family Group 20
47	Ovary entire; fruit a drupe or legume; leaflets without gland-tipped teeth	48	Family Group 20
48	Flowers solitary or few; leaflets 2--10 mm, +- entire --- small tree of DSon	Burseraceae	Family Group 20
48	Flowers in racemes or panicles, often many; leaflets mostly > 7 mm, often much longer, toothed or entire	49	Family Group 20
49	Corolla << 1 cm diam, white to +- green or pale yellow; fruit a drupe; leaflets often toothed	Anacardiaceae	Family Group 20
49	Corolla > 1 cm diam, bright yellow; fruit a legume; leaflets entire	Fabaceae	Family Group 20
50	Leaves +- cylindric [leaflets and lobes generally closely overlapping around axis], generally basal; fruit an achene; hypanthium present	Rosaceae	Family Group 20
50	Leaves +- flat, basal and/or cauline; fruit nutlets, mericarps, a capsule, or a legume; hypanthium 0	51	Family Group 20
51	Anther-bearing stamens as many as petals --- fruit with long beak, splitting into 5 mericarps	Geraniaceae	Family Group 20
51	Anther-bearing stamens 2 &times; as many as petals (occasionally some anthers much smaller than others)	52	Family Group 20
52	Flowers in racemes or panicles; ovary chamber 1; fruit dehiscent	53	Family Group 20
52	Flowers solitary, in pairs, or in a leafy-bracted raceme; ovary chambers generally 5; fruit splitting into mericarps	54	Family Group 20
53	Terminal leaflet 0; fruit a legume	Fabaceae	Family Group 20
53	Terminal leaflet present; fruit a capsule	Resedaceae	Family Group 20
54	Stipules 0; ovary very deeply 5-lobed; style base surrounded by ovary lobes	Limnanthaceae	Family Group 20
54	Stipules present; ovary entire or shallowly lobed at time of pollination; style at tip of ovary	Zygophyllaceae	Family Group 20
1	Stamens > 2 &times; as many as petals or > 15	2	Family Group 21
1	Stamens 2 &times; as many as petals or fewer	11	Family Group 21
2	Style 1	3	Family Group 21
2	Styles or sessile stigmas > 1, sometimes partly fused at base	7	Family Group 21
3	Stem fleshy, spiny (in some _Opuntia_ species only with glochids); sepals and petals indefinite in number and not sharply differentiated, in spirals	Cactaceae	Family Group 21
3	Stem not fleshy, generally not spiny; sepals and petals each 3--7, clearly differentiated, in whorls	4	Family Group 21
4	Herb or subshrub with rough, barbed, or stinging hairs	Loasaceae	Family Group 21
4	Tree or shrub lacking such hairs	5	Family Group 21
5	Ovary only 1/2 inferior, the free portion conic, especially in fruit	Hydrangeaceae	Family Group 21
5	Ovary +- wholly inferior, the free portion, if any, rounded	6	Family Group 21
6	Leaf generally dotted with embedded oil glands, often strongly scented when crushed; ovary chambers generally 2--5, all at 1 level; flowers variously colored	Myrtaceae	Family Group 21
6	Leaf not gland-dotted, not strongly scented; ovary chambers generally 5 or more, some at different levels in the ovary; flowers bright red-orange to pale yellow	Lythraceae	Family Group 21
7	Shrub or tree, woody throughout, not fleshy; petals generally 4--5	8	Family Group 21
7	Herb or plant woody only at base, generally +- fleshy; petals 4--many	9	Family Group 21
8	Leaves opposite; fruit a capsule	Hydrangeaceae	Family Group 21
8	Leaves alternate; fruit a pome	Rosaceae	Family Group 21
9	Plant aquatic; leaf blades and flowers floating at water surface	Nymphaeaceae	Family Group 21
9	Plant terrestrial; leaves and flowers not floating	10	Family Group 21
10	Sepals 4--8; petals many	Aizoaceae	Family Group 21
10	Sepals 2; petals 5	Portulacaceae	Family Group 21
11	Stamens opposite and = in number to petals	12	Family Group 21
11	Stamens alternate petals or different in number	13	Family Group 21
12	Shrub or tree	Rhamnaceae	Family Group 21
12	Herb --- petals actually slightly fused at base, easily misinterpreted as free	Theophrastaceae	Family Group 21
13	Style 1, sometimes distally branched	14	Family Group 21
13	Styles > 1	21	Family Group 21
14	Plant a tendril-bearing vine; flowers unisexual, plant monoecious --- corolla sometimes so deeply divided that petals appear to be free	Cucurbitaceae	Family Group 21
14	Plant not tendril-bearing; flowers generally bisexual	15	Family Group 21
15	Ovules > 1 per chamber	16	Family Group 21
15	Ovule 1 per chamber or perennial herb ovary	18	Family Group 21
16	Herb (subshrub)	Onagraceae	Family Group 21
16	Shrub	17	Family Group 21
